uf_ibge;Periodo;Quantidade de novas concessoes
15;02/2020;234
15;01/2020;488
15;12/2019;274
15;11/2019;264
15;10/2019;225
15;09/2019;242
15;08/2019;387
15;07/2019;170
15;06/2019;110
15;05/2019;16.801
15;04/2019;11.685
15;03/2019;13.320
15;02/2019;12.856
15;01/2019;13.767
15;12/2018;28.229
15;11/2018;18.080
15;10/2018;11.528
15;09/2018;11.579
15;08/2018;10.625
15;07/2018;13.908
15;06/2018;18.808
15;05/2018;13.911
15;04/2018;13.354
15;03/2018;9.369
15;02/2018;12.152
15;01/2018;12.370
15;12/2017;10.789
15;11/2017;19.741
15;10/2017;13.851
15;09/2017;9.478
15;08/2017;51.723
15;07/2017;4.374
15;06/2017;2.022
15;05/2017;783
15;04/2017;2.009
15;03/2017;50
15;02/2017;6.787
15;01/2017;39.471
15;12/2016;12.113
15;11/2016;3.150
15;10/2016;3.316
15;09/2016;33.921
15;08/2016;339
15;07/2016;6.771
15;06/2016;1.309
15;05/2016;281
15;04/2016;5.839
15;03/2016;17.060
15;02/2016;337
15;01/2016;43.814
15;12/2015;3.625
15;11/2015;13.399
15;10/2015;47.031
15;09/2015;13.193
15;08/2015;936
15;07/2015;3.064
15;06/2015;2.346
15;05/2015;37
15;04/2015;3.146
15;03/2015;109
15;02/2015;616
15;01/2015;26
15;12/2014;481
15;11/2014;1.783
15;10/2014;15
15;09/2014;230
15;08/2014;258
15;07/2014;24.245
15;06/2014;10.211
15;05/2014;9.190
15;04/2014;11.080
15;03/2014;21.305
15;02/2014;12.262
15;01/2014;6.309
