uf_ibge;Periodo;Quantidade de novas concessoes
33;02/2020;226
33;01/2020;4.085
33;12/2019;251
33;11/2019;261
33;10/2019;292
33;09/2019;236
33;08/2019;382
33;07/2019;143
33;06/2019;106
33;05/2019;24.059
33;04/2019;17.701
33;03/2019;19.119
33;02/2019;16.762
33;01/2019;21.240
33;12/2018;50.473
33;11/2018;32.059
33;10/2018;21.793
33;09/2018;22.659
33;08/2018;16.646
33;07/2018;21.158
33;06/2018;29.772
33;05/2018;22.421
33;04/2018;21.565
33;03/2018;14.696
33;02/2018;20.418
33;01/2018;19.327
33;12/2017;18.958
33;11/2017;34.621
33;10/2017;23.190
33;09/2017;17.997
33;08/2017;42.872
33;07/2017;14.175
33;06/2017;12.124
33;05/2017;678
33;04/2017;11.731
33;03/2017;38
33;02/2017;8.679
33;01/2017;12.488
33;12/2016;20.362
33;11/2016;10.061
33;10/2016;14.442
33;09/2016;44.549
33;08/2016;340
33;07/2016;27.462
33;06/2016;1.924
33;05/2016;87
33;04/2016;15.597
33;03/2016;9.836
33;02/2016;2.960
33;01/2016;24.370
33;12/2015;7.420
33;11/2015;19.852
33;10/2015;37.844
33;09/2015;23.063
33;08/2015;5.842
33;07/2015;11.320
33;06/2015;10.662
33;05/2015;13
33;04/2015;41.007
33;03/2015;179
33;02/2015;33
33;01/2015;26
33;12/2014;832
33;11/2014;2.307
33;10/2014;12
33;09/2014;37
33;08/2014;101
33;07/2014;21.897
33;06/2014;7.243
33;05/2014;10.669
33;04/2014;10.066
33;03/2014;15.651
33;02/2014;8.047
33;01/2014;5.480
