uf_ibge;Periodo;Quantidade de novas concessoes
28;02/2020;93
28;01/2020;101
28;12/2019;97
28;11/2019;133
28;10/2019;115
28;09/2019;71
28;08/2019;143
28;07/2019;55
28;06/2019;60
28;05/2019;4.317
28;04/2019;3.014
28;03/2019;3.243
28;02/2019;2.996
28;01/2019;3.872
28;12/2018;8.707
28;11/2018;4.888
28;10/2018;4.002
28;09/2018;4.933
28;08/2018;2.782
28;07/2018;4.030
28;06/2018;6.039
28;05/2018;5.260
28;04/2018;5.064
28;03/2018;3.156
28;02/2018;4.182
28;01/2018;3.507
28;12/2017;3.209
28;11/2017;6.145
28;10/2017;3.947
28;09/2017;3.593
28;08/2017;15.895
28;07/2017;1.309
28;06/2017;130
28;05/2017;43
28;04/2017;871
28;03/2017;20
28;02/2017;1.894
28;01/2017;10.424
28;12/2016;4.456
28;11/2016;641
28;10/2016;1.006
28;09/2016;11.446
28;08/2016;114
28;07/2016;1.761
28;06/2016;53
28;05/2016;111
28;04/2016;1.942
28;03/2016;4.575
28;02/2016;27
28;01/2016;12.496
28;12/2015;1.180
28;11/2015;6.925
28;10/2015;9.994
28;09/2015;870
28;08/2015;88
28;07/2015;38
28;06/2015;213
28;05/2015;17
28;04/2015;359
28;03/2015;21
28;02/2015;66
28;01/2015;11
28;12/2014;29
28;11/2014;190
28;10/2014;6
28;09/2014;60
28;08/2014;47
28;07/2014;10.266
28;06/2014;2.780
28;05/2014;1.660
28;04/2014;2.636
28;03/2014;7.278
28;02/2014;3.277
28;01/2014;1.365
