uf_ibge;Periodo;Quantidade de novas concessoes
12;02/2020;24
12;01/2020;45
12;12/2019;50
12;11/2019;38
12;10/2019;32
12;09/2019;39
12;08/2019;89
12;07/2019;22
12;06/2019;30
12;05/2019;1.405
12;04/2019;1.141
12;03/2019;1.302
12;02/2019;1.039
12;01/2019;1.109
12;12/2018;2.772
12;11/2018;2.073
12;10/2018;1.513
12;09/2018;1.436
12;08/2018;993
12;07/2018;1.247
12;06/2018;1.545
12;05/2018;1.387
12;04/2018;1.302
12;03/2018;1.071
12;02/2018;1.349
12;01/2018;1.263
12;12/2017;975
12;11/2017;1.968
12;10/2017;1.168
12;09/2017;973
12;08/2017;4.109
12;07/2017;1.137
12;06/2017;137
12;05/2017;10
12;04/2017;77
12;03/2017;5
12;02/2017;702
12;01/2017;4.205
12;12/2016;705
12;11/2016;618
12;10/2016;475
12;09/2016;2.060
12;08/2016;28
12;07/2016;1.363
12;06/2016;76
12;05/2016;65
12;04/2016;862
12;03/2016;1.680
12;02/2016;23
12;01/2016;4.037
12;12/2015;364
12;11/2015;988
12;10/2015;3.203
12;09/2015;4.887
12;08/2015;106
12;07/2015;94
12;06/2015;150
12;05/2015;12
12;04/2015;358
12;03/2015;9
12;02/2015;107
12;01/2015;8
12;12/2014;20
12;11/2014;125
12;10/2014;7
12;09/2014;42
12;08/2014;84
12;07/2014;2.306
12;06/2014;961
12;05/2014;704
12;04/2014;1.189
12;03/2014;1.305
12;02/2014;909
12;01/2014;861
