uf_ibge;Periodo;Quantidade de novas concessoes
16;02/2020;23
16;01/2020;26
16;12/2019;32
16;11/2019;30
16;10/2019;33
16;09/2019;39
16;08/2019;63
16;07/2019;24
16;06/2019;15
16;05/2019;1.582
16;04/2019;1.330
16;03/2019;1.424
16;02/2019;1.383
16;01/2019;1.380
16;12/2018;2.737
16;11/2018;1.131
16;10/2018;1.106
16;09/2018;1.256
16;08/2018;970
16;07/2018;1.451
16;06/2018;1.609
16;05/2018;1.306
16;04/2018;1.125
16;03/2018;1.075
16;02/2018;2.049
16;01/2018;1.416
16;12/2017;1.476
16;11/2017;2.397
16;10/2017;1.279
16;09/2017;1.112
16;08/2017;4.515
16;07/2017;16
16;06/2017;19
16;05/2017;8
16;04/2017;13
16;03/2017;5
16;02/2017;633
16;01/2017;4.327
16;12/2016;1.332
16;11/2016;100
16;10/2016;22
16;09/2016;2.260
16;08/2016;15
16;07/2016;1.194
16;06/2016;22
16;05/2016;17
16;04/2016;435
16;03/2016;1.059
16;02/2016;8
16;01/2016;3.480
16;12/2015;613
16;11/2015;1.184
16;10/2015;2.590
16;09/2015;4.475
16;08/2015;17
16;07/2015;1.141
16;06/2015;48
16;05/2015;2
16;04/2015;64
16;03/2015;13
16;02/2015;72
16;01/2015;2
16;12/2014;16
16;11/2014;205
16;10/2014;5
16;09/2014;38
16;08/2014;10
16;07/2014;2.368
16;06/2014;958
16;05/2014;588
16;04/2014;361
16;03/2014;901
16;02/2014;358
16;01/2014;291
