uf_ibge;Periodo;Quantidade de novas concessoes
53;02/2020;25
53;01/2020;41
53;12/2019;43
53;11/2019;56
53;10/2019;60
53;09/2019;53
53;08/2019;73
53;07/2019;21
53;06/2019;12
53;05/2019;1.743
53;04/2019;1.254
53;03/2019;1.188
53;02/2019;918
53;01/2019;1.206
53;12/2018;4.622
53;11/2018;1.763
53;10/2018;1.471
53;09/2018;1.789
53;08/2018;1.657
53;07/2018;1.562
53;06/2018;1.205
53;05/2018;919
53;04/2018;1.165
53;03/2018;1.166
53;02/2018;1.775
53;01/2018;1.791
53;12/2017;1.576
53;11/2017;2.957
53;10/2017;1.685
53;09/2017;1.461
53;08/2017;2.281
53;07/2017;4.210
53;06/2017;53
53;05/2017;8
53;04/2017;1.909
53;03/2017;5
53;02/2017;1.070
53;01/2017;477
53;12/2016;1.053
53;11/2016;2.139
53;10/2016;3.046
53;09/2016;5.209
53;08/2016;33
53;07/2016;5.332
53;06/2016;17
53;05/2016;15
53;04/2016;1.819
53;03/2016;1.638
53;02/2016;3
53;01/2016;1.222
53;12/2015;461
53;11/2015;1.428
53;10/2015;1.063
53;09/2015;14.693
53;08/2015;11
53;07/2015;4.283
53;06/2015;37
53;05/2015;2
53;04/2015;80
53;03/2015;28
53;02/2015;6
53;01/2015;2
53;12/2014;18
53;11/2014;418
53;09/2014;7
53;08/2014;8
53;07/2014;1.306
53;06/2014;609
53;05/2014;686
53;04/2014;1.444
53;03/2014;116
53;02/2014;649
53;01/2014;1.132
