uf_ibge;Periodo;Quantidade de novas concessoes
21;02/2020;343
21;01/2020;361
21;12/2019;422
21;11/2019;409
21;10/2019;396
21;09/2019;356
21;08/2019;578
21;07/2019;210
21;06/2019;138
21;05/2019;10.261
21;04/2019;8.160
21;03/2019;8.824
21;02/2019;8.132
21;01/2019;8.880
21;12/2018;26.887
21;11/2018;13.234
21;10/2018;8.926
21;09/2018;9.657
21;08/2018;10.316
21;07/2018;10.586
21;06/2018;14.216
21;05/2018;10.295
21;04/2018;11.794
21;03/2018;8.537
21;02/2018;11.962
21;01/2018;10.928
21;12/2017;9.060
21;11/2017;17.290
21;10/2017;12.675
21;09/2017;9.650
21;08/2017;49.032
21;07/2017;3.186
21;06/2017;1.115
21;05/2017;128
21;04/2017;1.163
21;03/2017;55
21;02/2017;6.667
21;01/2017;35.758
21;12/2016;15.276
21;11/2016;3.003
21;10/2016;2.397
21;09/2016;31.946
21;08/2016;589
21;07/2016;5.745
21;06/2016;366
21;05/2016;574
21;04/2016;6.881
21;03/2016;16.869
21;02/2016;216
21;01/2016;40.414
21;12/2015;5.275
21;11/2015;16.606
21;10/2015;28.729
21;09/2015;5.907
21;08/2015;1.656
21;07/2015;456
21;06/2015;1.445
21;05/2015;39
21;04/2015;2.917
21;03/2015;61
21;02/2015;1.484
21;01/2015;15
21;12/2014;104
21;11/2014;357
21;10/2014;30
21;09/2014;702
21;08/2014;526
21;07/2014;32.475
21;06/2014;9.927
21;05/2014;7.473
21;04/2014;12.614
21;03/2014;21.833
21;02/2014;8.600
21;01/2014;3.734
