uf_ibge;Periodo;Quantidade de novas concessoes
14;02/2020;117
14;01/2020;237
14;12/2019;165
14;11/2019;162
14;10/2019;177
14;09/2019;135
14;08/2019;335
14;07/2019;94
14;06/2019;54
14;05/2019;1.344
14;04/2019;1.303
14;03/2019;1.475
14;02/2019;962
14;01/2019;1.225
14;12/2018;2.910
14;11/2018;1.574
14;10/2018;868
14;09/2018;1.554
14;08/2018;1.035
14;07/2018;1.477
14;06/2018;1.715
14;05/2018;1.378
14;04/2018;1.219
14;03/2018;974
14;02/2018;1.097
14;01/2018;831
14;12/2017;537
14;11/2017;940
14;10/2017;699
14;09/2017;398
14;08/2017;2.708
14;07/2017;111
14;06/2017;147
14;05/2017;30
14;04/2017;127
14;03/2017;13
14;02/2017;565
14;01/2017;2.308
14;12/2016;2.073
14;11/2016;349
14;10/2016;98
14;09/2016;970
14;08/2016;142
14;07/2016;513
14;06/2016;77
14;05/2016;117
14;04/2016;389
14;03/2016;2.549
14;02/2016;15
14;01/2016;4.029
14;12/2015;513
14;11/2015;1.617
14;10/2015;1.415
14;09/2015;444
14;08/2015;361
14;07/2015;33
14;06/2015;357
14;05/2015;12
14;04/2015;291
14;03/2015;39
14;02/2015;621
14;01/2015;4
14;12/2014;16
14;11/2014;96
14;10/2014;6
14;09/2014;157
14;08/2014;59
14;07/2014;2.970
14;06/2014;745
14;05/2014;577
14;04/2014;296
14;03/2014;315
14;02/2014;199
14;01/2014;376
